Wall time,Step,Value
1557203881.740117,1000,0.00501449266448617
1557203948.330221,2000,0.00545507250353694
1557204014.9734044,3000,0.005562318954616785
1557204081.6341012,4000,0.007486956659704447
1557204148.2558534,5000,0.00571594201028347
1557204214.9745338,6000,0.0046869562938809395
1557204281.864454,7000,0.008469564840197563
1557204348.2697937,8000,0.03041159361600876
1557204414.6044898,9000,0.06074492633342743
1557204481.2484198,10000,0.09260000288486481
1557204547.4505153,11000,0.12181448936462402
1557204614.3683147,12000,0.14486666023731232
1557204680.5788548,13000,0.1650753617286682
1557204747.3529682,14000,0.18824057281017303
1557204813.756785,15000,0.21105507016181946
1557204879.963845,16000,0.22708116471767426
1557204946.8250558,17000,0.2438579648733139
1557205013.5174363,18000,0.2621304392814636
1557205080.2295377,19000,0.27953043580055237
1557205147.2528038,20000,0.2972666621208191
1557205213.6476803,21000,0.3073246479034424
1557205280.2653544,22000,0.3181826174259186
1557205346.4014215,23000,0.33399999141693115
1557205413.226106,24000,0.3438492715358734
1557205480.3547733,25000,0.3554115891456604
1557205547.0830839,26000,0.36506375670433044
1557205613.6106524,27000,0.3688666522502899
1557205680.1552944,28000,0.3792579770088196
1557205747.0300798,29000,0.38931015133857727
1557205813.2974498,30000,0.3935188353061676
1557205880.2654245,31000,0.4023449420928955
1557205946.6115694,32000,0.4075159430503845
1557206013.246257,33000,0.4162985384464264
1557206080.0096118,34000,0.4210463762283325
1557206147.0741112,35000,0.42818549275398254
1557206213.6737058,36000,0.43155941367149353
1557206280.227447,37000,0.43814781308174133
1557206347.041177,38000,0.44635653495788574
1557206413.592622,39000,0.4506666660308838
1557206480.050771,40000,0.4551478326320648
1557206546.368492,41000,0.4600116014480591
1557206613.2078974,42000,0.4623681306838989
1557206680.4254715,43000,0.4679565131664276
1557206747.3571017,44000,0.47460290789604187
1557206814.108631,45000,0.4730289876461029
1557206880.3052404,46000,0.4828231930732727
1557206946.721875,47000,0.48553332686424255
1557207013.2640064,48000,0.4877275228500366
1557207079.6459358,49000,0.4922724664211273
1557207145.8608453,50000,0.4946550726890564
1557207212.5132449,51000,0.4992029070854187
1557207279.2689779,52000,0.5041912794113159
1557207346.0823908,53000,0.5043391585350037
1557207412.4425702,54000,0.5050782561302185
1557207479.2971015,55000,0.511391282081604
1557207545.9814785,56000,0.5144753456115723
1557207612.2660367,57000,0.5154869556427002
1557207679.1294048,58000,0.5213594436645508
1557207745.8848243,59000,0.5235680937767029
1557207812.3448935,60000,0.5197796821594238
1557207878.6404264,61000,0.5288000106811523
1557207945.181921,62000,0.5295536518096924
1557208011.5214376,63000,0.5327130556106567
1557208077.3927393,64000,0.5339449048042297
1557208144.334816,65000,0.5337188243865967
1557208211.0203385,66000,0.5358173847198486
1557208277.452793,67000,0.5395970940589905
1557208343.8378177,68000,0.542014479637146
1557208410.6460702,69000,0.5444985628128052
1557208476.861477,70000,0.5462260842323303
1557208543.244692,71000,0.5469275116920471
1557208610.282957,72000,0.5494377017021179
1557208677.0529728,73000,0.5524173974990845
1557208743.364615,74000,0.5516985654830933
1557208810.322,75000,0.5540637969970703
1557208877.2294867,76000,0.5533594489097595
1557208943.8064172,77000,0.558956503868103
1557209010.6563098,78000,0.5590144991874695
1557209077.2605882,79000,0.56270432472229
1557209144.5289927,80000,0.5647709965705872
1557209211.1574576,81000,0.5647043585777283
1557209278.2470098,82000,0.5660521984100342
1557209344.6822937,83000,0.5692028999328613
1557209411.6051419,84000,0.5676202774047852
1557209478.2325432,85000,0.5711855292320251
1557209544.56462,86000,0.5705188512802124
1557209611.2265954,87000,0.5706115961074829
1557209678.0373192,88000,0.5748811364173889
1557209744.780319,89000,0.5756927728652954
1557209811.1120515,90000,0.5766319036483765
1557209877.1091545,91000,0.5789797306060791
1557209943.4009564,92000,0.5802724361419678
1557210009.8571045,93000,0.5824028849601746
